"series","episode","technical","result","Signature Bake","Show Stopper","Baker Name","Baker Age","Baker Occupation","Hometown"
7,1,11,"OUT","St. Clements Orange and Lemon Drizzle Cake","Strawberry Surprise Mirror Cake","Lee Banfield",67,"Pastor","Bolton"
7,1,7,"STAR BAKER","Lemon and Poppy Seed Drizzle Cake","Chocolate Orange Mirror Cake","Jane Beedle",61,"Garden designer","Beckenham"
7,2,4,"IN","Beehive Biscuits","Punting in Cambridge","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down"
7,2,3,"IN","Bouquet Biscuits","New York, New York","Benjamina Ebuehi",23,"Teaching assistant","South London"
7,2,2,"IN","Flower Pot Iced Biscuits","Hastings Old Town Fishing Net Shops and Boat","Jane Beedle",61,"Garden designer","Beckenham"
7,2,1,"IN","""A Biscuit for the Broads""","""I Promise I will do my best""","Kate Barmby",37,"Nurse","Brooke, Norfolk"
7,2,9,"IN","Malt, Chocolate and Orange Iced ""Beer"" Biscuits","Trip to See Santa in Lapland","Michael Georgiou",20,"Student","Durham"
7,2,6,"IN","Union Jack Bunting Biscuits","Gingerbread Christmas Fairground","Rav Bansal",28,"Student support","Erith"
7,2,11,"IN","""Wheelie Hot Iced Biscuits""","Stained Glass Window Gingerbread Church","Selasi Gbormittah",30,"Client service associate","London"
7,2,7,"IN","Chai Frappelatteccino Biscuits","Tom and Pod's Near Death Experience","Tom Gilliford",26,"Project engagement manager","Rochdale"
7,2,5,"IN","Sunday Treat Iced Ice Cream Cone Biscuits","From Holland to New York via Yorkshire","Val Stones",66,"Semi-retired, Substitute teacher","Yeovil"
7,2,10,"OUT","Baa Bara Brith Biscuits","Gingerbread Wedding","Louise Williams",46,"Hairdresser","Cardiff"
7,2,8,"STAR BAKER","Salted Caramel, Chocolate Iced Shiny Hearts","Gingerbread Pub with Sticky Ginger Carpet","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire"
7,3,2,"IN","Chocolate Barmbrack Bread","Braided Harvest Bread Basket","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down"
7,3,6,"IN","Chocolate, Tahini and Almond Babka","Braided Bread Heart","Benjamina Ebuehi",23,"Teaching assistant","South London"
7,3,3,"IN","Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf","Italian Light and Dark Rye Twist","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire"
7,3,9,"IN","Chocolate and Cranberry Couronne","Chorizo and Chilli Flower with Parmesan and Pesto Centre","Jane Beedle",61,"Garden designer","Beckenham"
7,3,8,"IN","Cobbled Loaf","The Corn Maiden","Kate Barmby",37,"Nurse","Brooke, Norfolk"
7,3,10,"IN","Chocolate, Cardamom and Hazelnut Loaf","Three Tier Diwali Bread Centrepiece","Rav Bansal",28,"Student support","Erith"
7,3,5,"IN","Chocolate, Orange and Cinnamon Bread","Bedouin Escape Tear and Share Bread","Selasi Gbormittah",30,"Client service associate","London"
7,3,1,"IN","Double Chocolate Cinnamon Twist Loaf","""And They All Went Into The Ark To Get Out Of The Rain""","Val Stones",66,"Semi-retired, Substitute teacher","Yeovil"
7,3,7,"OUT","Chocolate and Chilli Swirl Plait","Cypriot Dove and Olive Branch Plaited Loaf with Houmous","Michael Georgiou",20,"Student","Durham"
7,3,4,"STAR BAKER","Chocolate Orange and Chilli Swirl Bread","Jörmungandr and Mjölnir","Tom Gilliford",26,"Project engagement manager","Rochdale"
7,4,4,"IN","Yorkshire 'Tapas' Puddings","Churros Window Box","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down"
7,4,2,"IN","Yorkshire Wellingtons","Two-Way Peanut Butter Churros","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire"
7,4,3,"IN","Meat and Two Veg Yorkshires","Pistachio and White Chocolate Churros","Jane Beedle",61,"Garden designer","Beckenham"
7,4,9,"IN","Thai Tofu Panang Yorkshires","Three Dip Matcha Pistachio Churros","Rav Bansal",28,"Student support","Erith"
7,4,8,"IN","Perfect Sunday Roast Accompaniment","Lemon and Anise Churros","Selasi Gbormittah",30,"Client service associate","London"
7,4,5,"IN","West Yorkshire Fusion Puddings","Fennel Churros Snake In The Grass","Tom Gilliford",26,"Project engagement manager","Rochdale"
7,4,6,"IN","Mum's Chilli Yorkshire Puddings","Orange Chocolate Churros","Val Stones",66,"Semi-retired, Substitute teacher","Yeovil"
7,4,7,"OUT","Christmas Dinner Compromise","Hot Cross Bunny Churros","Kate Barmby",37,"Nurse","Brooke, Norfolk"
7,4,1,"STAR BAKER","Red Onion Chutney, Brie and Bacon Yorkshire Puddings","Tropical Churros","Benjamina Ebuehi",23,"Teaching assistant","South London"
7,5,6,"IN","Mum and Dad's Breakfast Pastries","Spicy Chorizo Squash Parcels and Baklava Bites","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down"
7,5,5,"IN","'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels","Plantain and Spinach Samosas and Chai Pear Cups","Benjamina Ebuehi",23,"Teaching assistant","South London"
7,5,1,"IN","Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones","Jane Beedle",61,"Garden designer","Beckenham"
7,5,8,"IN","Cinnamon Swirls and Pecan, Walnut and Maple Plaits","Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas","Rav Bansal",28,"Student support","Erith"
7,5,3,"IN","Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups","Selasi Gbormittah",30,"Client service associate","London"
7,5,4,"IN","Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers","Yin and Yang Amuse-bouche","Tom Gilliford",26,"Project engagement manager","Rochdale"
7,5,7,"OUT","Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels","Val Stones",66,"Semi-retired, Substitute teacher","Yeovil"
7,5,2,"STAR BAKER","Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire"
7,6,6,"IN","Tangy Lime and Ginger Meringue Pie","Spring Elderflower Trio","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down"
7,6,2,"IN","Grapefruit and Ginger Meringue Pie","Floral Tea Cake","Benjamina Ebuehi",23,"Teaching assistant","South London"
7,6,5,"IN","Lime, Coconut and Lemongrass Sugar Meringue Pie","Four Seasons Cake","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire"
7,6,4,"IN","Lime and Coconut Meringue Pie","Three Tier Orange Cake with a Floral Chocolate Collar","Jane Beedle",61,"Garden designer","Beckenham"
7,6,7,"IN","Grapefruit, Orange and Mint Meringue Pie","Three Tiered Ombré Floral Cake","Selasi Gbormittah",30,"Client service associate","London"
7,6,3,"OUT","Mandarin Margarita Meringue Pie","Blossom Cake","Rav Bansal",28,"Student support","Erith"
7,6,1,"STAR BAKER","Blood Orange Halloween Pumpkin Pie","Floral Tea Cake","Tom Gilliford",26,"Project engagement manager","Rochdale"
7,7,3,"IN","Piña Colada Roulade","Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake","Benjamina Ebuehi",23,"Teaching assistant","South London"
7,7,2,"IN","Crowd Pleaser Roulade","Blackberry and Raspberry Bubbles and After Dinner Mousse","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire"
7,7,4,"IN","Chocolate and Hazelnut Roulade","Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses","Jane Beedle",61,"Garden designer","Beckenham"
7,7,6,"IN","Summer Picnic Roulade","Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes","Selasi Gbormittah",30,"Client service associate","London"
7,7,5,"OUT","Millionaire's Roulade","Hipster Picnic","Tom Gilliford",26,"Project engagement manager","Rochdale"
7,7,1,"STAR BAKER","Tropical Holiday Roulade","Childhood Ice Cream Mousse Cakes","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down"
7,8,2,"IN","Da Vinci Inspired Geared Pies","Jousting Knights Marchpane","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down"
7,8,5,"IN","Tudor Rose Pies","Swans","Jane Beedle",61,"Garden designer","Beckenham"
7,8,3,"IN","Bouquet of Flowers","Fruity Tudor Marchpane","Selasi Gbormittah",30,"Client service associate","London"
7,8,4,"OUT","Mexican Adventure","Tudor Garden","Benjamina Ebuehi",23,"Teaching assistant","South London"
7,8,1,"STAR BAKER","Cheesy Cheeky Fish Pies","Peacock","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire"
7,9,3,"IN","Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers","Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire"
7,9,1,"IN","Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers","Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies","Jane Beedle",61,"Garden designer","Beckenham"
7,9,4,"OUT","Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers","Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies","Selasi Gbormittah",30,"Client service associate","London"
7,9,2,"STAR BAKER","Cheesy Elephant Ears and Herby Treble Clefs","Philharmonic Fondants","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down"
7,10,2,"WINNER","Queen Victoria's Mango and Strawberry Crown","Picnic for Pearly Kings and Queens","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire"
7,10,1,"Runner-up","Crunchy Caramel Cassis Crown","Family and Friends' Favourites Picnic","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down"
7,10,3,"Runner-up","Red, White and Blue Meringue Crown","Family Favourites Feast","Jane Beedle",61,"Garden designer","Beckenham"
8,1,12,"IN","Tropical Fresh Fruit Cake","'Raised Pork Pie and Egg Surprise' Cake","Chris Geiger",50,"Software developer","Bristol"
8,1,9,"IN","Citrus Layer Cake","'One in a Melon' Cake","Flo Atkins",71,"Retired","Merseyside"
8,1,2,"IN","Orange, Rhubarb & Ginger Crumble Cake","'Mock-accino and Croissant' Cake","James Hillery",46,"Banker","Brentwood, Essex"
8,1,3,"IN","Courgette and Lemon Cake","'Russian Doll' Cake","Julia Chernogorova",21,"Aviation Broker","Crawley, West Sussex"
8,1,1,"IN","Moroccan Strawberry and Rose Cake","'Chocolate Terrarium' Cake","Kate Lyon",29,"Health and safety inspector","Merseyside"
8,1,8,"IN","Apple and Almond Crumble Maple Loaf","'Stackin' Sunday' Cake","Liam Charles",19,"Student","North London"
8,1,5,"IN","Pineapple and Coconut Sandwich Cake","'Champagne Bottle and Bucket' Cake","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
8,1,11,"IN","Granny Smith Apple and Walnut Cake","'Black Evening Clutch Bag' Cake","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire"
8,1,7,"IN","Gilded Pear and Cardamom Cake","'Stack of Books' Cake","Tom Hetherington",29,"Architect","Edinburgh"
8,1,4,"IN","Windfall Apple Crumble Cake","'Banana-ramen' Cake","Yan Tsou",46,"Laboratory research scientist","North London"
8,1,10,"OUT","Coconut Cake","'Bread on a Breadboard' Cake","Peter Abatan",52,"IT programme manager","Southend, Essex"
8,1,6,"STAR BAKER","Bonfire Night Cake","'A Baker's Lunch' Cake","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire"
8,2,10,"IN","Gin Jam Butties","'Pick My Bones' Game","Flo Atkins",71,"Retired","Merseyside"
8,2,3,"IN","Rhubarb and Custard Whirls","'Coppit' Game","James Hillery",46,"Banker","Brentwood, Essex"
8,2,4,"IN","Middle Eastern Delight Sandwich Biscuits","'A British Baking' Game","Julia Chernogorova",21,"Aviation Broker","Crawley, West Sussex"
8,2,8,"IN","Coconut Seashells for a Titanic Afternoon Tea","'Jungle' Game","Kate Lyon",29,"Health and safety inspector","Merseyside"
8,2,7,"IN","Coffee Malted Pecan Shorties","'Classroom Classics' Game","Liam Charles",19,"Student","North London"
8,2,2,"IN","Lemon Limoncino Sandwich Biscuits","'Snakes and Ladders' Game","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
8,2,9,"IN","Sparkly Chocolate and Marshmallow Fluff Cookies","'Get to School' Game","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire"
8,2,5,"IN","Coffee and Amaretto Kisses","'Drain Pipes and Ladders' Game","Tom Hetherington",29,"Architect","Edinburgh"
8,2,1,"IN","'Mrs. Marian's PB 'n' B' Biscuits","'Adventures in Bakeland' Game","Yan Tsou",46,"Laboratory research scientist","North London"
8,2,11,"OUT","Chocolate Chia Seed Biscuits with Whisky Caramel Filling","'The Great British Sail Off' Game","Chris Geiger",50,"Software developer","Bristol"
8,2,6,"STAR BAKER","Amarpressi Biscuits","'Check Bake' Game","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire"
8,3,9,"IN","Nordic Teacakes","'Owl in the Woods' Bread Sculpture","James Hillery",46,"Banker","Brentwood, Essex"
8,3,10,"IN","Blueberry Buns","'Kraken' Bread Sculpture","Kate Lyon",29,"Health and safety inspector","Merseyside"
8,3,5,"IN","Jamaican Spiced Teacakes","'Kneadapolitan' Bread Sculpture","Liam Charles",19,"Student","North London"
8,3,6,"IN","Tagine Teacakes","'Picnic Basket' Bread Sculpture","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
8,3,1,"IN","Cranberry and Cinnamon Teacakes","'Ascot Hat' Bread Sculpture","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire"
8,3,3,"IN","Madras Cocktail Teacakes","'The Bag I Knead' Bread Sculpture","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire"
8,3,4,"IN","Orange and Cranberry Teacakes","'Pink & Yellow Rose Centrepiece' Bread Sculpture","Tom Hetherington",29,"Architect","Edinburgh"
8,3,8,"IN","'Mrs P's' Masala Chai Spiced Teacakes","'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture","Yan Tsou",46,"Laboratory research scientist","North London"
8,3,7,"OUT","Cinnamon and Orange Teacakes","'Davy Jones' Locker' Bread Sculpture","Flo Atkins",71,"Retired","Merseyside"
8,3,2,"STAR BAKER","Earl Grey Dried Fruit Teacakes","'The Snail Under a Mushroom' Bread Sculpture","Julia Chernogorova",21,"Aviation Broker","Crawley, West Sussex"
8,4,2,"IN","'Windy City' Millionaire Shortbreads","Nutty Caramel Cake","James Hillery",46,"Banker","Brentwood, Essex"
8,4,9,"IN","Pecan Salted Caramel Millionaire Shortbreads","Poppy Seed Caramel Cake","Julia Chernogorova",21,"Aviation Broker","Crawley, West Sussex"
8,4,3,"IN","Salted Peanut Butter Millionaire Shortbreads","White Layered Ginger Caramel Cake","Liam Charles",19,"Student","North London"
8,4,4,"IN","Jaffa Millionaire Shortbreads","Bird's Nest Caramel Cake","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
8,4,1,"IN","Rum Salted Caramel Millionaire Shortbreads","Chocolate and Coffee Caramel Cake","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire"
8,4,7,"IN","Orange Macadamia Nut Millionaire Shortbreads","Caramel Crown Cake","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire"
8,4,8,"IN","'Lil' Red's Ginger and Nuts' Millionaire Shortbreads","Animals of the Rainforest Caramel Cake","Yan Tsou",46,"Laboratory research scientist","North London"
8,4,5,"OUT","Stem Ginger Caramel Shortbreads","Hummingbird Cake","Tom Hetherington",29,"Architect","Edinburgh"
8,4,6,"STAR BAKER","Salted Bay Caramel Millionaire Shortbreads","Sticky Toffee Apple Caramel Cake","Kate Lyon",29,"Health and safety inspector","Merseyside"
8,5,3,"IN","Orange & Treacle Steamed School Pudding","'Opulent Ornament' Trifle Terrine","Julia Chernogorova",21,"Aviation Broker","Crawley, West Sussex"
8,5,8,"IN","'Mr Darcy's Steamy Lake Scene' Steamed School Pudding","'My Great Great Nan's' Raspberry Trifle Terrine","Kate Lyon",29,"Health and safety inspector","Merseyside"
8,5,2,"IN","Cherries & Lemons that are 'Baked Well'","'Cheers Lads' Trifle Terrine","Liam Charles",19,"Student","North London"
8,5,4,"IN","Bakewell Tart Steamed School Pudding","Tropical Trifle Terrine","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire"
8,5,5,"IN","Lemon & Blackcurrant Drizzle Steamed School Pudding","'From Across the Jelly Pond' Trifle Terrine","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire"
8,5,6,"IN","Mango Fruit Hat Steamed School Pudding","'Heart of a Hero' Trifle Terrine","Yan Tsou",46,"Laboratory research scientist","North London"
8,5,7,"OUT","Orange and Ginger Steamed School Pudding","'The Missed Silver Jubilee' Trifle Terrine","James Hillery",46,"Banker","Brentwood, Essex"
8,5,1,"STAR BAKER","Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
8,6,5,"IN","'Vegetarian Pie Faces' Decorative Pies","Potato Curry Pie with Mango & Chilli Glaze","Kate Lyon",29,"Health and safety inspector","Merseyside"
8,6,2,"IN","'The Four Seasons' Decorative Pies","Game Pie with Glazed Forest Fruits","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
8,6,6,"IN","'Love Theme' Decorative Pies","Indian Hand Raised Pie with Mango","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire"
8,6,3,"IN","'Fleetwood Mac' Decorative Pies","Christmas Pie","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire"
8,6,1,"IN","'πr2' Decorative Pies","Chequerboard Pie","Yan Tsou",46,"Laboratory research scientist","North London"
8,6,7,"OUT","'Pies from the Tree' Decorative Pies","'Special Occasion' Pie","Julia Chernogorova",21,"Aviation Broker","Crawley, West Sussex"
8,6,4,"STAR BAKER","'Standard FC' Decorative Pies","'Nan's Sunday Dinner' Pie","Liam Charles",19,"Student","North London"
8,7,6,"IN","'Happy Hour' Cocktail Cannoli","'Flavour Fusion' Sfogliatelle","Kate Lyon",29,"Health and safety inspector","Merseyside"
8,7,2,"IN","'Just Doing Me' Cannoli","'Morning Delivery' Sfogliatelle","Liam Charles",19,"Student","North London"
8,7,3,"IN","'Classics with a Twist' Cannoli","'Classics' Sfogliatelle","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
8,7,4,"IN","My All Time Favourite Desserts","Pastry Surprise","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire"
8,7,5,"OUT","Cannoli Cocktails","Canadian-Style Sfogliatelle","Yan Tsou",46,"Laboratory research scientist","North London"
8,7,1,"STAR BAKER","Italian Style Cannoli","'Sicilian-style' Sfogliatelle","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire"
8,8,2,"IN","Burrito Bedfordshire Clangers","'Liver Building Turret' Savoy Cake","Kate Lyon",29,"Health and safety inspector","Merseyside"
8,8,4,"IN","Char Siu & Banana Praline Bedfordshire Clangers","Citrus with Green Apple Croquembouche Savoy Cake","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
8,8,1,"IN","'Mediterranean Medley' Bedfordshire Clangers","Chestnut Rum Savoy Cake","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire"
8,8,5,"OUT","'Take Out' Bedfordshire Clangers","'Fort Wizardore' Savoy Cake","Liam Charles",19,"Student","North London"
8,8,3,"STAR BAKER","Camembert & Onion and Apple & Blueberry Bedfordshire Clangers","'Bright' Lemon & Orange Savoy Cake","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire"
8,9,4,"IN","Bellini and Valencian Orange Choux Buns","'Rainbow' Meringue Centrepiece","Kate Lyon",29,"Health and safety inspector","Merseyside"
8,9,3,"IN","Key Lime Cheesecake and Bakewell Tart Choux Buns","'Some Air Over the Rainbow' Meringue Centrepiece","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire"
8,9,2,"OUT","'Choux-nicorn and Choux-moji' Choux Buns","'Flamingos in Love' Meringue Centrepiece","Stacey Hart",42,"Former school teacher","Radlett, Hertfordshire"
8,9,1,"STAR BAKER","Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns","'Tutu with Opera Filling' Meringue Centrepiece","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
8,10,2,"WINNER","Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche","'Ode to the Honey Bee' Entremet","Sophie Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey"
8,10,3,"Runner-up","Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet","Kate Lyon",29,"Health and safety inspector","Merseyside"
8,10,1,"Runner-up","Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads","'Yin Yang' Entremet","Steven Carter-Bailey",34,"Marketer","Watford, Hertfordshire"
